flow_id,src_ip,dst_ip,src_port,dst_port,protocol,bytes,packets,duration_ms,label,bytes_per_packet,packets_per_sec,anomaly_raw,anomaly_score,is_outlier
F00754,10.0.3.165,203.0.113.9,60656,31337,TCP,2873832,7105,337,anomaly,404.4802251935257,21083.086053412462,-1,0.715748954610061,True
F00173,10.0.0.196,203.0.113.44,4271,31337,TCP,3266510,6849,272,anomaly,476.93239889034896,25180.147058823528,-1,0.7122036519923536,True
F00237,10.0.1.176,203.0.113.39,53160,31337,TCP,1516969,1645,146,anomaly,922.1696048632219,11267.123287671233,-1,0.6903279507726007,True
F00038,10.0.0.181,203.0.113.17,8558,31337,TCP,2470599,3421,431,anomaly,722.1862028646594,7937.354988399072,-1,0.69013256801269,True
F00872,10.0.4.12,203.0.113.36,62631,4444,UDP,4085641,7886,393,anomaly,518.0878772508242,20066.157760814247,-1,0.6898574551437382,True
F00627,10.0.2.94,203.0.113.1,10991,31337,TCP,908937,5798,204,anomaly,156.76733356329768,28421.568627450983,-1,0.6855321300200811,True
F00720,10.0.1.140,203.0.113.31,61428,31337,UDP,853539,2929,152,anomaly,291.409696142028,19269.736842105263,-1,0.6837395239562379,True
F00616,10.0.4.139,203.0.113.8,32422,31337,UDP,1048836,3338,88,anomaly,314.2109047333733,37931.818181818184,-1,0.6826087413992866,True
F00399,10.0.0.246,203.0.113.43,34793,31337,UDP,2287565,3776,579,anomaly,605.817002118644,6521.588946459413,-1,0.6824058290550613,True
F00385,10.0.1.211,203.0.113.47,15222,31337,TCP,1146023,7932,388,anomaly,144.48096318709025,20443.298969072166,-1,0.6790831273576386,True
F00561,10.0.3.192,203.0.113.8,41397,31337,UDP,1120303,7682,703,anomaly,145.8348086435824,10927.453769559033,-1,0.6762437530536128,True
F00630,10.0.1.12,203.0.113.28,50733,31337,UDP,693406,1011,126,anomaly,685.8615232443126,8023.809523809524,-1,0.6758491170554787,True
F00029,10.0.1.143,203.0.113.23,28882,6667,UDP,3354812,1166,424,anomaly,2877.1972555746142,2750.0,-1,0.6750428171836907,True
F00476,10.0.2.134,203.0.113.19,19381,31337,TCP,660976,7308,710,anomaly,90.44553913519431,10292.957746478874,-1,0.6749351331730084,True
F00258,10.0.4.16,203.0.113.27,48750,445,UDP,3251671,7611,300,anomaly,427.23308369465246,25370.0,-1,0.6722393001309587,True
F00899,10.0.2.252,203.0.113.6,8939,31337,TCP,1537283,3878,434,anomaly,396.4112944816916,8935.483870967742,-1,0.6600891802221889,True
F00662,10.0.1.98,203.0.113.44,12828,31337,TCP,1042198,3522,268,anomaly,295.9108461101647,13141.791044776119,-1,0.6581801497075701,True
F00678,10.0.0.189,203.0.113.41,33417,4444,UDP,3360964,5918,255,anomaly,567.9222710375127,23207.843137254902,-1,0.6568127220042138,True
F00272,10.0.2.45,203.0.113.18,47888,23,UDP,2702580,6176,251,anomaly,437.59391191709847,24605.57768924303,-1,0.6553291762668753,True
F00816,10.0.3.3,203.0.113.18,29087,31337,UDP,328943,3039,636,anomaly,108.24053965120105,4778.301886792453,-1,0.6549487376776857,True
